seed,policy,sessions,users,repeated_users,tail_users,tail,mean_shortfall,delivered,cost,cost_per_kwh,repeat_failure,new_shortfall,new_sessions,excess_kwh,fallbacks,decisions,max_violation,latency_p50,latency_p95
33,point,770,60,60,6,0.2569563770499779,0.07950841113543658,14142.27323782512,2255.3330032388303,0.15947457422945877,0.15,0.1130325554034601,86,0.0,2,1164,1.5063505998114124e-12,0.020648583507863805,0.03609581698401598
33,point_history,770,60,60,6,0.2489387510574829,0.07964003331565853,14137.943679482432,2254.1739882930565,0.15944143217690185,0.13333333333333333,0.11113192889278078,86,0.0,4,1179,8.480432711621688e-08,0.012354582984698936,0.02119447152072098
33,stochastic,770,60,60,6,0.2332467169072098,0.06101314228738448,14319.714891633266,2322.451632034736,0.16218560562205744,0.08333333333333333,0.09607066407507614,86,0.0,0,1264,1.1102230246251565e-16,0.008998041987069882,0.02144838756212266
33,history,770,60,60,6,0.1932520296998312,0.05623966377585199,14397.582786777626,2344.875276789206,0.1628658998886035,0.03333333333333333,0.08889141909731132,86,0.0,2,1270,1.4210854715202004e-14,0.008533979504136369,0.021737655949254985
33,pf_mpc,770,60,60,6,0.22970625192113658,0.06080374332841068,14340.624339634982,2329.0522187491506,0.16240940168218876,0.08333333333333333,0.09657874763435385,86,0.0,1,1259,1.4210854715202004e-14,0.012704042019322515,0.04920825448061805
44,point,744,60,60,6,0.20129232866779523,0.060718772014355514,13763.595048685616,2095.3239875143868,0.1522366779974745,0.05,0.04403512063366136,70,0.0,4,1177,1.4210854715202004e-14,0.01609449999523349,0.02800791640765965
44,point_history,744,60,60,6,0.19967817155827083,0.05998717758969579,13779.195474792996,2100.280435828562,0.15242402502168687,0.05,0.0450197482096247,70,0.0,3,1200,2.345390726077312e-08,0.010137229503015988,0.01859857885283418
44,stochastic,744,60,60,6,0.19723407218878444,0.04601774864578352,13901.48171531759,2161.4934686601646,0.1554865526513253,0.016666666666666666,0.020397675292655217,70,0.0,0,1307,1.4210854715202004e-14,0.007395333988824859,0.01874676679435652
44,history,744,60,60,6,0.17849997763900508,0.04500818900205765,13929.088719648924,2169.170484116134,0.15572953319309513,0.0,0.026464501498494483,70,0.0,0,1296,2.842170943040401e-14,0.006257187502342276,0.01564132275962038
44,pf_mpc,744,60,60,6,0.19891188947769833,0.04600965414853212,13914.587165035373,2164.587191984726,0.15556244438382683,0.0,0.020397675330418284,70,0.0,2,1309,1.4210854715202004e-14,0.008561459020711482,0.03892409959225915
55,point,740,60,60,6,0.1362451737161438,0.04569356360837406,13571.80562984118,1978.1592389846949,0.14575505227065677,0.016666666666666666,0.04106116433697359,77,0.0,4,1130,3.146507765450224e-08,0.0157386874925578,0.02724543939257273
55,point_history,740,60,60,6,0.13877146017443576,0.04585939197850293,13568.039138041157,1977.3959493082566,0.14573925747045988,0.03333333333333333,0.04218900019656248,77,0.0,6,1104,6.292941634455929e-08,0.011004874511854723,0.01978650884557282
55,stochastic,740,60,60,6,0.13575529345157356,0.032210052288093,13697.845831076702,2023.3051131763864,0.147709730283725,0.0,0.02182644199327242,77,0.0,1,1215,1.4210854715202004e-14,0.00792429197463207,0.019113216796540655
55,history,740,60,60,6,0.11588368619160665,0.0308110009937607,13725.627739066756,2030.9070597740517,0.14796460303185657,0.0,0.022757746342713513,77,0.0,0,1228,1.1102230246251565e-16,0.006557166503625922,0.015987821061571587
55,pf_mpc,740,60,60,6,0.1366267358262994,0.03281979377053923,13696.483007651363,2022.7743421975974,0.1476856752983668,0.0,0.021627676195494817,77,0.0,2,1184,1.4210854715202004e-14,0.010029270488303155,0.038681470489245834
