policy,tail,delivered,cost_per_kwh,fallbacks
history,0.16271660364139667,13937.838760354038,0.15583886672640274,2
pf_mpc,0.18828686398363756,13909.2577729777,0.15557561924301738,5
point,0.19093265643518897,13727.724488344054,0.1527484807738694,17
point_history,0.18733827074601908,13725.203215659398,0.15272783640637555,23
stochastic,0.18911211118391522,13896.899623126814,0.15545281894087196,1
