candidate,comparator,metric,unit,mean,low,high,n
history,pf_mpc,tail,pp difference,-2.55702603422409,-3.728926589419088,-1.3851254790290914,5
history,pf_mpc,delivered,percent ratio,100.20470206592996,100.0561576922615,100.35324643959844,5
history,pf_mpc,cost_per_kwh,percent ratio,100.1680309804102,100.07449694240256,100.26156501841783,5
history,pf_mpc,new_shortfall,pp difference,0.06009768922099632,-0.5786351969858958,0.6988305754278885,5
history,point_history,tail,pp difference,-2.4621667104622427,-6.535623561613383,1.6112901406888973,5
history,point_history,delivered,percent ratio,101.54346666323003,100.85888246336577,102.2280508630943,5
history,point_history,cost_per_kwh,percent ratio,102.04206690478736,101.29098736499243,102.79314644458229,5
history,point_history,new_shortfall,pp difference,-2.829957847363572,-4.239374745603433,-1.4205409491237113,5
stochastic,point,tail,pp difference,-0.18205452512737533,-4.678368315694035,4.314259265439285,5
stochastic,point,delivered,percent ratio,101.22768641064654,100.62148557067556,101.83388725061752,5
stochastic,point,cost_per_kwh,percent ratio,101.77795077904884,101.02731897979153,102.52858257830614,5
stochastic,point,new_shortfall,pp difference,-2.9911333178143122,-4.730136724856267,-1.2521299107723576,5
point_history,point,tail,pp difference,-0.3594385689169876,-0.8706593175961019,0.15178217976212677,5
point_history,point,delivered,percent ratio,99.9816681317913,99.8818178790085,100.0815183845741,5
point_history,point,cost_per_kwh,percent ratio,99.98618778883416,99.87764724838368,100.09472832928464,5
point_history,point,new_shortfall,pp difference,-0.1338176240254117,-0.5118948158407763,0.2442595677899529,5
history,stochastic,tail,pp difference,-2.6395507542518546,-3.9307033963592186,-1.3483981121444906,5
history,stochastic,delivered,percent ratio,100.29337459446552,100.1076151304932,100.47913405843784,5
history,stochastic,cost_per_kwh,percent ratio,100.24567648890248,100.11161144020005,100.3797415376049,5
history,stochastic,new_shortfall,pp difference,0.027357846425328847,-0.5642570389463373,0.6189727317969951,5
