period,candidate,comparator,metric,estimate,low,high,block_days,reps
test_q3,history,maxmin,tail_pp,5.94824250121947,2.687727157912496,10.845414315580426,5,2000
test_q3,history,maxmin,delivery_percent,98.83472480406192,98.5966941482866,99.22477323027844,5,2000
test_q3,history,maxmin,unit_cost_percent,98.95444703785824,98.78764791231842,99.20629898912723,5,2000
test_q3,history,debt_share,tail_pp,1.8337314225819856,-0.25646241435715256,5.015740263915698,5,2000
test_q3,history,debt_share,delivery_percent,99.5479014744295,99.36020223013661,99.82542083479788,5,2000
test_q3,history,debt_share,unit_cost_percent,99.81976010378659,99.68138790305574,100.01299789076491,5,2000
test_q3,history,pf_mpc,tail_pp,-2.8886994030345226,-4.077446545199989,2.7366768404575392,5,2000
test_q3,history,pf_mpc,delivery_percent,100.07740030342447,99.91132502043146,100.30359696062098,5,2000
test_q3,history,pf_mpc,unit_cost_percent,100.10405979171315,100.00476241915952,100.23953304159723,5,2000
test_q3,history,point_history,tail_pp,1.6092498882658512,-1.3487591004769581,3.7412017915556572,5,2000
test_q3,history,point_history,delivery_percent,100.0261553165742,99.86652174602139,100.25765635564227,5,2000
test_q3,history,point_history,unit_cost_percent,100.29583041046496,100.15329533033956,100.49334059026309,5,2000
test_q3,history,stochastic,tail_pp,-11.342497159619958,-12.518463330993232,-5.159304643753373,5,2000
test_q3,history,stochastic,delivery_percent,101.55848942415521,101.32171485209017,101.88147254607158,5,2000
test_q3,history,stochastic,unit_cost_percent,101.02934926690301,100.83898592224611,101.28099170181311,5,2000
test_q4,history,maxmin,tail_pp,8.883017507238256,5.924947432681192,13.532783104058764,5,2000
test_q4,history,maxmin,delivery_percent,98.54380251977342,98.30451777648827,98.86545108557688,5,2000
test_q4,history,maxmin,unit_cost_percent,99.23862466231539,98.9925429137986,99.56604226378383,5,2000
test_q4,history,debt_share,tail_pp,3.6480972311440762,1.5529883420005965,6.6823428582209345,5,2000
test_q4,history,debt_share,delivery_percent,99.5786792014343,99.32934070036971,99.76942945213705,5,2000
test_q4,history,debt_share,unit_cost_percent,99.89850275708656,99.76468264875096,99.98102261008687,5,2000
test_q4,history,pf_mpc,tail_pp,1.4742017543130093,-1.4830739940004911,5.8884442599549045,5,2000
test_q4,history,pf_mpc,delivery_percent,99.88527705575032,99.74022422208591,100.10912212813487,5,2000
test_q4,history,pf_mpc,unit_cost_percent,99.93611722092072,99.86676327950973,100.05115363544907,5,2000
test_q4,history,point_history,tail_pp,2.3001336492292634,-0.6299039225242333,4.297981194533662,5,2000
test_q4,history,point_history,delivery_percent,99.86989417139816,99.56379751756342,100.24774810342933,5,2000
test_q4,history,point_history,unit_cost_percent,100.56113377542884,100.20690718933167,100.98973258005094,5,2000
test_q4,history,stochastic,tail_pp,-6.197297308283445,-9.022999037854117,-2.692828185485078,5,2000
test_q4,history,stochastic,delivery_percent,101.07646229490146,100.88787690109737,101.31963318904508,5,2000
test_q4,history,stochastic,unit_cost_percent,100.49255924704651,100.37485190895171,100.64548980557825,5,2000
