seed,variant,policy,sessions,users,repeated_users,tail_users,tail,mean_shortfall,delivered,cost,cost_per_kwh,repeat_failure,new_shortfall,new_sessions,excess_kwh,fallbacks,decisions,max_violation,latency_p50,latency_p95
11,uncalibrated,history,773,60,60,6,0.1372060561405843,0.032798143382298,14176.822299556914,2153.297689246843,0.1518885998390586,0.0,0.0145256315965467,79,0.0,0,1039,5.684341886080803e-14,0.0270943330251611,0.0581100215029436
11,empirical,history,773,60,60,6,0.1267668969564308,0.0437476821294764,13986.848292447145,2097.918756579881,0.1499922436216564,0.0,0.027722637057566,79,0.0,0,1026,2.8421709430404014e-14,0.0260771460016258,0.0579639375137048
11,horizon_12h,history,773,60,60,6,0.1368155255728634,0.0322608450613884,14188.561983397616,2154.8079021364147,0.1518693652434833,0.0,0.0142564597251717,79,0.0,0,1035,2.8421709430404014e-14,0.0172366249898914,0.0384102205978706
11,early,history,773,60,60,6,0.1632255786622918,0.0407830142748185,14056.974080438124,2126.0060712692984,0.1512420851816094,0.0,0.0199450621782371,79,0.0,0,1059,1.4210854715202004e-14,0.0272140420274809,0.0656865124881733
11,late,history,773,60,60,6,0.3381114358398596,0.1251493154445895,12791.910493142275,1735.7748217591966,0.1356931650428403,0.4666666666666667,0.1582482852472225,79,0.0,0,1225,1.4210854715202004e-14,0.0173039160144981,0.0496047246037051
11,wide,history,773,60,60,6,0.1385651590627718,0.0364750087540509,14133.111582636804,2140.671791576593,0.1514650032344263,0.0166666666666666,0.0174394259359268,79,0.0,0,1042,1.4210854715202004e-14,0.0109261665056692,0.0234970023971982
11,narrow,history,773,60,60,6,0.174246216454702,0.0533080249088385,13906.514391573271,2095.6252520496455,0.1506937822837548,0.0333333333333333,0.0725059702635037,79,0.0,0,1133,2.8421709430404014e-14,0.0109974170045461,0.0227567670110147
11,shorter_stay,history,773,60,60,6,0.2540935693976716,0.098670360541857,13107.358004478216,1866.977706065885,0.1424373779542772,0.1166666666666666,0.067239962187142,79,0.0,0,984,1.1102230246251563e-16,0.0114082084910478,0.0257963374853716
11,shorter_stay,pf_mpc,773,60,60,6,0.282238552403131,0.098315906122742,13101.384374820913,1867.061879140436,0.142508747604465,0.1166666666666666,0.0563088250684074,79,0.0,0,993,1.4210854715202004e-14,0.0205684170068707,0.076952800003346
11,larger_requests,history,773,60,60,6,0.2356449738505188,0.094377167164953,16356.001828584334,2810.0714074683615,0.1718067432933016,0.0833333333333333,0.0699894537775636,79,0.0,0,1202,1.4210854715202004e-14,0.012730520509649,0.025979139599076
11,larger_requests,pf_mpc,773,60,60,6,0.2863090264062337,0.0920961153654602,16417.299069622248,2829.3654363337764,0.1723404942758881,0.15,0.0588768444415103,79,0.0,0,1220,1.4210854715202004e-14,0.0206744374881964,0.0613821149032446
22,uncalibrated,history,748,60,60,6,0.1910255115382315,0.0537007302629366,13452.02277900022,2163.3759667210666,0.1608216104196824,0.0,0.0382664461649865,71,0.0,0,1099,1.4210854715202004e-14,0.0248257080093026,0.0554105337214423
22,empirical,history,748,60,60,6,0.1429594879148103,0.0511093877345694,13460.810487896428,2166.6815647469502,0.1609621921871025,0.0,0.0436028042372292,71,0.0,0,1091,1.4210854715202004e-14,0.0253928329912014,0.0543538130150409
22,horizon_12h,history,748,60,60,6,0.1891295329790569,0.0534907187396248,13448.333174337073,2162.0204693427117,0.1607649395144679,0.0,0.0400452160127893,71,0.0,0,1102,1.4210854715202004e-14,0.016115020494908,0.0362435017639654
22,early,history,748,60,60,6,0.2120891250085999,0.0554927522255299,13364.542037717996,2138.3550125778397,0.1600021165366445,0.05,0.0356421651729526,71,0.0,0,1127,1.4210854715202004e-14,0.0255009579996112,0.0595315751095768
22,late,history,748,60,60,6,0.4473358831767729,0.1802798496419462,11878.945630042865,1683.9184044058277,0.1417565545671877,0.4666666666666667,0.1999803811361478,71,0.0,0,1262,1.4210854715202004e-14,0.0169434794952394,0.0481078246986726
22,wide,history,748,60,60,6,0.1854713685556872,0.0518909228216727,13440.39039837847,2161.397183298436,0.1608135715729805,0.0,0.0345920676921339,71,0.0,0,1105,1.1102230246251563e-16,0.0104806669987738,0.0220190755964722
22,narrow,history,748,60,60,6,0.2649649210216334,0.0782745867358448,13220.999584267482,2137.563653603819,0.1616794282444002,0.1333333333333333,0.0789661113793923,71,0.0,0,1174,1.4210854715202004e-14,0.0110104795166989,0.0227817603110452
22,shorter_stay,history,748,60,60,6,0.3262300182505018,0.1354992869643264,12193.91176796116,1798.316803213047,0.1474766127091412,0.1833333333333333,0.1357050179883119,71,0.0,0,1036,2.8421709430404014e-14,0.0110474795073969,0.0297818437320529
22,shorter_stay,pf_mpc,748,60,60,6,0.3813255714718975,0.1364886204316835,12176.55520280234,1795.4580243346968,0.1474520498146705,0.2,0.1180577402686725,71,0.0,0,1038,1.1102230246251563e-16,0.0192693749995669,0.0693341250676894
22,larger_requests,history,748,60,60,6,0.2965053282604331,0.1399121276251648,15020.553119074735,2648.697744062986,0.1763382295622243,0.1666666666666666,0.1547423724642659,71,0.0,0,1243,4.263256414560601e-14,0.0118530410109087,0.0257910291111329
22,larger_requests,pf_mpc,748,60,60,6,0.361751529429562,0.1349245469862066,15158.234205732431,2692.154066342445,0.1776034088010294,0.2666666666666666,0.1393735873444457,71,0.0,0,1250,5.684341886080803e-14,0.0206918750191107,0.0586514475609874
33,uncalibrated,history,770,60,60,6,0.1940802968956222,0.0557744465907359,14406.13661450841,2347.5683362099207,0.1629561345298979,0.0333333333333333,0.0885418822050915,86,0.0,0,1100,1.4210854715202004e-14,0.0238660414906917,0.0509224878594977
33,empirical,history,770,60,60,6,0.2080868433480865,0.0585243911913445,14317.71996949804,2318.724788822952,0.1619479074714885,0.0333333333333333,0.0626242174452074,86,0.0,0,1084,1.4210854715202004e-14,0.0243232710054144,0.0471281151505536
33,horizon_12h,history,770,60,60,6,0.1932520709190421,0.0562396683297823,14397.582622776406,2344.8752276886835,0.1628658983334593,0.0333333333333333,0.0888913143052576,86,0.0,0,1096,2.8421709430404014e-14,0.0152810000145109,0.0339365212566917
33,early,history,770,60,60,6,0.238989105173986,0.0586960541279307,14296.187003539597,2310.1885547655893,0.1615947353090449,0.05,0.1045669438216455,86,0.0,0,1098,1.1102230246251563e-16,0.0235441459954017,0.051537660730537
33,late,history,770,60,60,6,0.5040425451952809,0.1817292589364427,12559.749007171118,1764.796009180808,0.1405120443229542,0.5,0.1760343951426675,86,0.0,0,1321,1.1102230246251563e-16,0.0126725000154692,0.0262435830081813
33,wide,history,770,60,60,6,0.1991384034363595,0.0533487176999256,14410.459877324482,2346.0946446759913,0.162804980871407,0.05,0.0864778467446924,86,0.0,0,1098,1.4210854715202004e-14,0.0108198749949224,0.0248816125065786
33,narrow,history,770,60,60,6,0.2751109656184968,0.0755752168681463,14168.139789800422,2289.037318525648,0.1615623047546097,0.15,0.1017663528159057,86,0.0,0,1162,1.4210854715202004e-14,0.0110239995119627,0.0221142812515608
33,shorter_stay,history,770,60,60,6,0.3798323369259582,0.1441041807538058,12948.858544347884,1924.509211334595,0.1486238501056631,0.25,0.192865805367027,86,0.0,0,1027,1.4210854715202004e-14,0.0104050830123014,0.0241247706086141
33,shorter_stay,pf_mpc,770,60,60,6,0.4203989260604708,0.1448906972782521,12921.580268627677,1920.4130542488092,0.1486206032331341,0.25,0.196190470796804,86,0.0,0,1031,1.1102230246251563e-16,0.0159948749933391,0.054529271001229
33,larger_requests,history,770,60,60,6,0.3217632867087467,0.1474862949936303,15934.25691627852,2827.618332965343,0.1774552994734654,0.1833333333333333,0.1675419513789844,86,0.0,0,1237,2.8421709430404014e-14,0.009579790988937,0.0234079160029068
33,larger_requests,pf_mpc,770,60,60,6,0.3805767735807115,0.1422061257451304,16092.24007122209,2880.480693074198,0.1789981183679573,0.35,0.1923566481954206,86,0.0,0,1254,1.4210854715202004e-14,0.0131107500055804,0.0363730061420938
44,uncalibrated,history,744,60,60,6,0.185055649741712,0.0452182796591764,13936.20809241667,2169.787291374455,0.1556942374127676,0.0,0.0273742340151944,70,0.0,0,1063,1.4210854715202004e-14,0.0219126660085748,0.0451607538125244
44,empirical,history,744,60,60,6,0.1536105178863452,0.0463666371715921,13882.362042770428,2146.603624790542,0.154628125831687,0.0,0.0274028308061407,70,0.0,0,1051,5.684341886080803e-14,0.0229673330031801,0.0446748545073205
44,horizon_12h,history,744,60,60,6,0.1785000324487587,0.0450081923712557,13929.08856723069,2169.1703544830098,0.1557295255905084,0.0,0.0264643782892751,70,0.0,0,1061,2.8421709430404014e-14,0.0147569999971892,0.0313325829920358
44,early,history,744,60,60,6,0.2079828048253421,0.050321125576427,13845.267406591587,2135.503093648139,0.1542406535702913,0.0333333333333333,0.007980265789713,70,0.0,0,1080,1.1102230246251563e-16,0.021457396011101,0.0470633645512862
44,late,history,744,60,60,6,0.3669087407579949,0.1416782302008077,12505.84949616316,1729.9679166133,0.1383326992016064,0.4666666666666667,0.1940008599899223,70,0.0,0,1246,4.263256414560601e-14,0.0133501044911099,0.0269796667562332
44,wide,history,744,60,60,6,0.1799887811910464,0.0450255349038587,13927.24496763198,2161.5522135802275,0.1552031445274241,0.0,0.0209099951179747,70,0.0,0,1066,2.8421709430404014e-14,0.0103973750083241,0.0245139684921014
44,narrow,history,744,60,60,6,0.1798332297627524,0.0543039454477909,13807.71669624796,2148.0082737081348,0.1555657840439197,0.0333333333333333,0.053943091239182,70,0.0,0,1127,1.4210854715202004e-14,0.0103827089769765,0.0223153374099638
44,shorter_stay,history,744,60,60,6,0.2910254679734218,0.1171843221448103,12791.930004208076,1861.367490005404,0.1455110752945867,0.0666666666666666,0.0860624763734092,70,0.0,0,1020,1.4210854715202004e-14,0.0096350000239908,0.0210424267381313
44,shorter_stay,pf_mpc,744,60,60,6,0.3271852484357869,0.118028451074112,12763.440597852656,1855.0763207144785,0.1453429666156459,0.1,0.0640979161253385,70,0.0,0,1019,1.4210854715202004e-14,0.0166948750265873,0.0539444836234906
44,larger_requests,history,744,60,60,6,0.2557214022233056,0.1160761522778041,15863.30455547562,2732.856550057335,0.172275362961119,0.1,0.0810363161450878,70,0.0,0,1233,2.8421709430404014e-14,0.010794750007335,0.0243143002036958
44,larger_requests,pf_mpc,744,60,60,6,0.310322111506316,0.1120222578617297,15982.561695927105,2770.671347829037,0.1733558987940649,0.2,0.0668458087426183,70,0.0,1,1236,1.1102230246251563e-16,0.0134884580038487,0.0445899062469834
55,uncalibrated,history,740,60,60,6,0.1141139801280965,0.030924412811654,13722.455115902949,2029.867174166532,0.1479230325056133,0.0,0.0227577205217767,77,0.0,0,1002,1.4210854715202004e-14,0.014587333498639,0.0309307797826477
55,empirical,history,740,60,60,6,0.0957327784940696,0.0307054557350644,13687.790809683816,2012.7628242464457,0.1470480410047222,0.0,0.0243239667266508,77,0.0,0,983,2.8421709430404014e-14,0.0151604159909766,0.0328921625128714
55,horizon_12h,history,740,60,60,6,0.1158836359761596,0.0308109903845063,13725.628021980248,2030.9071770384548,0.1479646085254646,0.0,0.0227577205217767,77,0.0,0,1001,1.4210854715202004e-14,0.01020704198163,0.021165165991988
55,early,history,740,60,60,6,0.1366503599975774,0.0361217557288501,13632.070087580169,2005.8522666426152,0.1471421621042057,0.0,0.0508680790499205,77,0.0,0,998,1.4210854715202004e-14,0.0181377705011982,0.0381435393428546
55,late,history,740,60,60,6,0.2526650324990102,0.0967695550712527,12707.790324730062,1728.744107946055,0.1360381359599413,0.35,0.0264190364956262,77,0.0,0,1197,1.4210854715202004e-14,0.0083520420012064,0.0177827752020675
55,wide,history,740,60,60,6,0.1097791983216938,0.0299295028788894,13738.993314555431,2030.0787310653816,0.1477603696709471,0.0,0.0274629237134239,77,0.0,0,1000,1.4210854715202004e-14,0.0068815835111308,0.0165962250059237
55,narrow,history,740,60,60,6,0.1811718779241256,0.0461009423152255,13498.081660254076,1993.2576732267376,0.1476697002875605,0.05,0.0130011509836084,77,0.0,0,1125,1.4210854715202004e-14,0.0072036249912343,0.0179326996032614
55,shorter_stay,history,740,60,60,6,0.2307152726058441,0.0936644070044501,12775.740116850096,1781.9631757305224,0.1394802304549281,0.0333333333333333,0.0780903460602196,77,0.0,0,954,1.4210854715202004e-14,0.0064813335047801,0.015639464695414
55,shorter_stay,pf_mpc,740,60,60,6,0.2610749417512748,0.0930622023569716,12794.324812360725,1788.302110141814,0.1397730741065849,0.05,0.0708776345730789,77,0.0,0,950,4.263256414560601e-14,0.0121633959934115,0.0368900437344564
55,larger_requests,history,740,60,60,6,0.1979846289581295,0.090871593913282,15925.315803958618,2668.6072594377374,0.1675701312481597,0.0666666666666666,0.0817028439294235,77,0.0,0,1180,4.263256414560601e-14,0.0084189379995223,0.0176175440530641
55,larger_requests,pf_mpc,740,60,60,6,0.2710414539299617,0.0908886101618136,15977.151286222055,2685.8584787327127,0.1681062180996477,0.1166666666666666,0.0682375697640369,77,0.0,1,1182,5.684341886080803e-14,0.0135912085097515,0.0472235829962301
