policy,metric,mean,low,high,n
equal,tail,0.017011405511790638,-0.02814424931482961,0.062167060338410886,5
equal,mean_shortfall,0.011588513413636686,0.0029449107122128844,0.020232116115060487,5
equal,new_shortfall,0.004353369222260403,-0.030050222206496596,0.0387569606510174,5
equal,delivered,0.9796101368806674,0.970033261066975,0.9891870126943599,5
equal,cost_per_kwh,0.9834867915014602,0.971421705499156,0.9955518775037645,5
fcfs,tail,0.01878865711341491,-0.036741136681213614,0.07431845090804343,5
fcfs,mean_shortfall,0.010168210267038754,0.004146410023762352,0.016190010510315156,5
fcfs,new_shortfall,0.023924943739480644,0.001794780767087268,0.046055106711874017,5
fcfs,delivered,0.9863817948041502,0.9808341536616283,0.9919294359466722,5
fcfs,cost_per_kwh,1.0064966614780075,0.9935523274994861,1.019440995456529,5
edf,tail,-0.006521688145471993,-0.01545817080391823,0.0024147945129742443,5
edf,mean_shortfall,0.002600752753854908,0.0007272629810011096,0.004474242526708707,5
edf,new_shortfall,0.009469331057347641,0.001681353060469703,0.01725730905422558,5
edf,delivered,0.9955589131864138,0.9938607955216642,0.9972570308511634,5
edf,cost_per_kwh,1.0159187280844648,1.0042660486507347,1.027571407518195,5
laxity,tail,0.0014924960276817556,-0.014642856162398365,0.017627848217761876,5
laxity,mean_shortfall,0.007314801731539049,0.0048799201414473845,0.009749683321630714,5
laxity,new_shortfall,0.011365251649538671,-0.0007236123164151148,0.023454115615492457,5
laxity,delivered,0.9997467633119106,0.9979080665105975,1.0015854601132237,5
laxity,cost_per_kwh,1.0020641755945465,0.9970495737023483,1.007078777486745,5
maxmin,tail,0.009719119983137703,-0.028628496565015198,0.0480667365312906,5
maxmin,mean_shortfall,0.03089607772576951,0.02107686460077081,0.040715290850768214,5
maxmin,new_shortfall,0.03988030313910592,0.011616452193058818,0.06814415408515302,5
maxmin,delivered,0.9704903031574901,0.961972488627381,0.9790081176875991,5
maxmin,cost_per_kwh,0.9639887483737954,0.9543161513955598,0.9736613453520311,5
debt_share,tail,-0.030949147836267055,-0.056029427225402106,-0.005868868447132001,5
debt_share,mean_shortfall,0.0074416094407681556,-0.00030228130238772657,0.015185500183924037,5
debt_share,new_shortfall,0.006406299311823263,-0.024428612679192975,0.0372412113028395,5
debt_share,delivered,0.986328969769182,0.9793163434245843,0.9933415961137798,5
debt_share,cost_per_kwh,0.988782378351899,0.9801803932371971,0.9973843634666009,5
point,tail,0.10925232143599836,0.09565911771998885,0.12284552515200788,5
point,mean_shortfall,0.10545779163616584,0.09070935794532856,0.12020622532700312,5
point,new_shortfall,0.11500524630531808,0.08465880049850828,0.1453516921121279,5
point,delivered,0.8907187334275886,0.8770372810597924,0.9044001857953847,5
point,cost_per_kwh,0.9840320662771374,0.9730586176221594,0.9950055149321153,5
stochastic,tail,0.000825370484105109,-0.001964409327979465,0.003615150296189683,5
stochastic,mean_shortfall,3.571911404327971e-05,-0.0004694563135276882,0.0005408945416142477,5
stochastic,new_shortfall,0.00032732081565564516,-0.0007706908066791023,0.0014253324379903925,5
stochastic,delivered,0.9991144689275939,0.9983833243699627,0.9998456134852252,5
stochastic,cost_per_kwh,0.9992238219657276,0.9984607342090278,0.9999869097224273,5
point_history,tail,0.101989266268993,0.0800624791512323,0.12391605338675371,5
point_history,mean_shortfall,0.1051792354399281,0.08970923966709647,0.12064923121275974,5
point_history,new_shortfall,0.10871640688268655,0.07874065834081707,0.138692155424556,5
point_history,delivered,0.8908621641147614,0.8769255343386033,0.9047987938909194,5
point_history,cost_per_kwh,0.9840429443842661,0.9725422441590051,0.995543644609527,5
pf_mpc,tail,0.0,0.0,0.0,5
pf_mpc,mean_shortfall,0.0,0.0,0.0,5
pf_mpc,new_shortfall,0.0,0.0,0.0,5
pf_mpc,delivered,1.0,1.0,1.0,5
pf_mpc,cost_per_kwh,1.0,1.0,1.0,5
history,tail,-0.02557345922454054,-0.03729713395057722,-0.013849784498503858,5
history,mean_shortfall,-0.0022289058516308338,-0.00404181518628852,-0.00041599651697314796,5
history,new_shortfall,0.0006010048203452325,-0.005786527572935434,0.006988537213625899,5
history,delivered,1.0020451381303732,1.0005571548983572,1.0035331213623893,5
history,cost_per_kwh,1.0016782380706706,1.0007402115734643,1.002616264567877,5
