seed,policy,stratum,sessions,users,shortfall,individual_unavoidable,dimension
11,maxmin,>6h,510,60,0.011297784789871236,0.0,dwell_band
11,pf_mpc,<=3h,18,12,0.2805693667768821,0.224952070424976,dwell_band
11,pf_mpc,3-6h,245,48,0.0732464525809676,0.005203764721523572,dwell_band
11,pf_mpc,>6h,510,60,0.005389752200746643,0.0,dwell_band
11,point,<=3h,18,12,0.6955536237238505,0.224952070424976,dwell_band
11,point,3-6h,245,48,0.2246554302951721,0.005203764721523572,dwell_band
11,point,>6h,510,60,0.09977518103509737,0.0,dwell_band
11,point_history,<=3h,18,12,0.6835611385999882,0.224952070424976,dwell_band
11,point_history,3-6h,245,48,0.2276378938864216,0.005203764721523572,dwell_band
11,point_history,>6h,510,60,0.09837243129709672,0.0,dwell_band
11,stochastic,<=3h,18,12,0.2805693667768821,0.224952070424976,dwell_band
11,stochastic,3-6h,245,48,0.07378448858929504,0.005203764721523572,dwell_band
11,stochastic,>6h,510,60,0.005886900794455118,0.0,dwell_band
22,debt_share,<=3h,13,11,0.5027774581070353,0.2926963310021745,dwell_band
22,debt_share,3-6h,226,50,0.13898913852419406,0.002956364842574288,dwell_band
22,debt_share,>6h,509,59,0.011906588919185983,0.0,dwell_band
22,edf,<=3h,13,11,0.3749162612524399,0.2926963310021745,dwell_band
22,edf,3-6h,226,50,0.127261877684536,0.002956364842574288,dwell_band
22,edf,>6h,509,59,0.02156714436829873,0.0,dwell_band
22,equal,<=3h,13,11,0.5084717731489377,0.2926963310021745,dwell_band
22,equal,3-6h,226,50,0.14439630422000369,0.002956364842574288,dwell_band
22,equal,>6h,509,59,0.013549572391266237,0.0,dwell_band
22,fcfs,<=3h,13,11,0.4792415675420474,0.2926963310021745,dwell_band
22,fcfs,3-6h,226,50,0.14972076703245932,0.002956364842574288,dwell_band
22,fcfs,>6h,509,59,0.014125837158870065,0.0,dwell_band
22,history,<=3h,13,11,0.48086544249390706,0.2926963310021745,dwell_band
22,history,3-6h,226,50,0.12363218190481895,0.002956364842574288,dwell_band
22,history,>6h,509,59,0.011432089890627682,0.0,dwell_band
22,laxity,<=3h,13,11,0.48048535554959126,0.2926963310021745,dwell_band
22,laxity,3-6h,226,50,0.16098230728927868,0.002956364842574288,dwell_band
22,laxity,>6h,509,59,0.01086035760370427,0.0,dwell_band
22,maxmin,<=3h,13,11,0.5675816428061655,0.2926963310021745,dwell_band
22,maxmin,3-6h,226,50,0.19705175706018926,0.002956364842574288,dwell_band
22,maxmin,>6h,509,59,0.024865642366392656,0.0,dwell_band
22,pf_mpc,<=3h,13,11,0.46070378914051957,0.2926963310021745,dwell_band
22,pf_mpc,3-6h,226,50,0.127197348310162,0.002956364842574288,dwell_band
22,pf_mpc,>6h,509,59,0.01408903252156525,0.0,dwell_band
22,point,<=3h,13,11,0.7451275016982014,0.2926963310021745,dwell_band
22,point,3-6h,226,50,0.25932628908256117,0.002956364842574288,dwell_band
22,point,>6h,509,59,0.11721879566690598,0.0,dwell_band
22,point_history,<=3h,13,11,0.7499761569812318,0.2926963310021745,dwell_band
22,point_history,3-6h,226,50,0.26410927592967615,0.002956364842574288,dwell_band
22,point_history,>6h,509,59,0.11772791353961555,0.0,dwell_band
22,stochastic,<=3h,13,11,0.4745284066990705,0.2926963310021745,dwell_band
22,stochastic,3-6h,226,50,0.12539417571887737,0.002956364842574288,dwell_band
22,stochastic,>6h,509,59,0.014630806389890597,0.0,dwell_band
33,debt_share,<=3h,17,12,0.4289346614913246,0.16672117624048538,dwell_band
33,debt_share,3-6h,240,44,0.1472689272644299,0.0077450945183011955,dwell_band
33,debt_share,>6h,513,60,0.017752479090509553,0.0,dwell_band
33,edf,<=3h,17,12,0.3452397808627603,0.16672117624048538,dwell_band
33,edf,3-6h,240,44,0.12100059203263827,0.0077450945183011955,dwell_band
33,edf,>6h,513,60,0.023498289811788475,0.0,dwell_band
33,equal,<=3h,17,12,0.44554278737319863,0.16672117624048538,dwell_band
33,equal,3-6h,240,44,0.1719249547936447,0.0077450945183011955,dwell_band
33,equal,>6h,513,60,0.01780135446749462,0.0,dwell_band
33,fcfs,<=3h,17,12,0.4983267113737959,0.16672117624048538,dwell_band
33,fcfs,3-6h,240,44,0.16611475918290122,0.0077450945183011955,dwell_band
33,fcfs,>6h,513,60,0.017069814991899034,0.0,dwell_band
33,history,<=3h,17,12,0.36700927475645256,0.16672117624048538,dwell_band
33,history,3-6h,240,44,0.12622725671667392,0.0077450945183011955,dwell_band
33,history,>6h,513,60,0.013198528910469692,0.0,dwell_band
33,laxity,<=3h,17,12,0.5509258865967587,0.16672117624048538,dwell_band
33,laxity,3-6h,240,44,0.16175459319114024,0.0077450945183011955,dwell_band
33,laxity,>6h,513,60,0.011577423097506529,0.0,dwell_band
33,maxmin,<=3h,17,12,0.5672682704031102,0.16672117624048538,dwell_band
33,maxmin,3-6h,240,44,0.2149987580105728,0.0077450945183011955,dwell_band
33,maxmin,>6h,513,60,0.02795504723636056,0.0,dwell_band
33,pf_mpc,<=3h,17,12,0.39546160159776883,0.16672117624048538,dwell_band
33,pf_mpc,3-6h,240,44,0.14312962041583002,0.0077450945183011955,dwell_band
33,pf_mpc,>6h,513,60,0.011198768945001672,0.0,dwell_band
33,point,<=3h,17,12,0.6232788095604862,0.16672117624048538,dwell_band
33,point,3-6h,240,44,0.25171722106548633,0.0077450945183011955,dwell_band
33,point,>6h,513,60,0.09632501726139168,0.0,dwell_band
33,point_history,<=3h,17,12,0.6328267282024627,0.16672117624048538,dwell_band
33,point_history,3-6h,240,44,0.24720495694564526,0.0077450945183011955,dwell_band
33,point_history,>6h,513,60,0.09633258149852943,0.0,dwell_band
33,stochastic,<=3h,17,12,0.38254538878124306,0.16672117624048538,dwell_band
33,stochastic,3-6h,240,44,0.14348591467772298,0.0077450945183011955,dwell_band
33,stochastic,>6h,513,60,0.011774346648837445,0.0,dwell_band
44,debt_share,<=3h,19,12,0.5257749012241252,0.2702198636687205,dwell_band
44,debt_share,3-6h,200,50,0.1283986292705605,0.007764753490025208,dwell_band
44,debt_share,>6h,525,60,0.008044063854169866,0.0,dwell_band
44,edf,<=3h,19,12,0.5396574676221939,0.2702198636687205,dwell_band
44,edf,3-6h,200,50,0.09524832735587546,0.007764753490025208,dwell_band
44,edf,>6h,525,60,0.012444000693935853,0.0,dwell_band
44,equal,<=3h,19,12,0.5422404514085255,0.2702198636687205,dwell_band
44,equal,3-6h,200,50,0.14345636623189673,0.007764753490025208,dwell_band
44,equal,>6h,525,60,0.008715387147576227,0.0,dwell_band
44,fcfs,<=3h,19,12,0.6064906077559371,0.2702198636687205,dwell_band
44,fcfs,3-6h,200,50,0.12692220357278475,0.007764753490025208,dwell_band
44,fcfs,>6h,525,60,0.009396386687725265,0.0,dwell_band
44,history,<=3h,19,12,0.5604152893701417,0.2702198636687205,dwell_band
44,history,3-6h,200,50,0.09231096817475488,0.007764753490025208,dwell_band
44,history,>6h,525,60,0.0083352590309155,0.0,dwell_band
44,laxity,<=3h,19,12,0.6139584709259681,0.2702198636687205,dwell_band
44,laxity,3-6h,200,50,0.11437179113951103,0.007764753490025208,dwell_band
44,laxity,>6h,525,60,0.007417406463980014,0.0,dwell_band
44,maxmin,<=3h,19,12,0.5306763386832462,0.2702198636687205,dwell_band
44,maxmin,3-6h,200,50,0.17070099671317573,0.007764753490025208,dwell_band
44,maxmin,>6h,525,60,0.018429764606640357,0.0,dwell_band
44,pf_mpc,<=3h,19,12,0.583217857314918,0.2702198636687205,dwell_band
44,pf_mpc,3-6h,200,50,0.09586343154136069,0.007764753490025208,dwell_band
44,pf_mpc,>6h,525,60,0.007564112611748607,0.0,dwell_band
44,point,<=3h,19,12,0.702186486088208,0.2702198636687205,dwell_band
44,point,3-6h,200,50,0.21912857469112856,0.007764753490025208,dwell_band
44,point,>6h,525,60,0.08760610046688926,0.0,dwell_band
44,point_history,<=3h,19,12,0.6661692340373125,0.2702198636687205,dwell_band
44,point_history,3-6h,200,50,0.21496747508088135,0.007764753490025208,dwell_band
44,point_history,>6h,525,60,0.09113913473047132,0.0,dwell_band
44,stochastic,<=3h,19,12,0.5809773376063336,0.2702198636687205,dwell_band
44,stochastic,3-6h,200,50,0.0936331685436857,0.007764753490025208,dwell_band
44,stochastic,>6h,525,60,0.00851791892023844,0.0,dwell_band
55,debt_share,<=3h,16,12,0.38716315576940386,0.1737834768771156,dwell_band
55,debt_share,3-6h,191,52,0.08393812894591281,0.003378508908375509,dwell_band
55,debt_share,>6h,533,60,0.007358390491675151,0.0,dwell_band
55,edf,<=3h,16,12,0.43042988464499965,0.1737834768771156,dwell_band
55,edf,3-6h,191,52,0.0745787847882376,0.003378508908375509,dwell_band
55,edf,>6h,533,60,0.010190853238947913,0.0,dwell_band
