seed,model,lead_minutes,cohort,sessions,events,brier,logloss
22,hazard_cal,120,new,71,1,0.01415752965540831,0.07826521383915472
22,hazard_cal,120,regular,323,0,0.0015388241161550188,0.033547236800320596
22,hazard_cal,120,variable,353,11,0.030111020260787567,0.13630831415673975
33,empirical,30,new,86,0,8.401596303297314e-06,0.0029027596579613
33,empirical,30,regular,353,0,8.401596303297314e-06,0.0029027596579613004
33,empirical,30,variable,330,0,8.401596303297314e-06,0.0029027596579613
33,empirical,60,new,86,0,2.1508086536442157e-05,0.0046484685679846
33,empirical,60,regular,353,0,2.1508086536442157e-05,0.0046484685679846
33,empirical,60,variable,330,3,0.00902809570181971,0.05345658056087219
33,empirical,120,new,86,2,0.02272755283969062,0.11076081368972679
33,empirical,120,regular,353,0,0.0003884898130644,0.0199069805668798
33,empirical,120,variable,330,14,0.04114035630406133,0.18564639735461888
33,hazard,30,new,86,0,1.2631297323422569e-06,0.0009475261681882255
33,hazard,30,regular,353,0,8.639821148040189e-06,0.002119323654621267
33,hazard,30,variable,330,0,1.6842519258579644e-06,0.0009583037673672328
33,hazard,60,new,86,0,9.195594542384377e-06,0.002560160649093722
33,hazard,60,regular,353,0,6.239299110460798e-05,0.005724511374884185
33,hazard,60,variable,330,3,0.008932740117921558,0.0493455165512643
33,hazard,120,new,86,2,0.022983445325492714,0.11993930873161213
33,hazard,120,regular,353,0,0.0009223483881789794,0.022534848452428834
33,hazard,120,variable,330,14,0.040863714839445626,0.18763024188921187
33,hazard_cal,30,new,86,0,1.2440976351400678e-06,0.0009356282028092999
33,hazard_cal,30,regular,353,0,8.939961215508647e-06,0.0021348189275147518
33,hazard_cal,30,variable,330,0,1.6892023519890243e-06,0.0009486142244640251
33,hazard_cal,60,new,86,0,9.18009140267145e-06,0.0025451740735062604
33,hazard_cal,60,regular,353,0,6.540716841271305e-05,0.005805376421716184
33,hazard_cal,60,variable,330,3,0.008928733217573011,0.04927722642749424
33,hazard_cal,120,new,86,2,0.022986181947041433,0.1199614527216414
33,hazard_cal,120,regular,353,0,0.0009957504187172843,0.023225451688345642
33,hazard_cal,120,variable,330,14,0.04082501161573883,0.1871419501031955
44,empirical,30,new,70,0,1.353655767368816e-06,0.0011641444853737
44,empirical,30,regular,314,0,1.353655767368816e-06,0.0011641444853737
44,empirical,30,variable,358,2,0.005574946201777944,0.03890261755988509
44,empirical,60,new,70,0,1.6582283150267994e-05,0.0040804486811618
44,empirical,60,regular,314,0,1.6582283150267994e-05,0.0040804486811618
44,empirical,60,variable,358,3,0.008328222479314727,0.05016570628713708
44,empirical,120,new,70,0,0.0003465358764464,0.018790922836881
44,empirical,120,regular,314,1,0.0034126793534345755,0.031418219587665205
44,empirical,120,variable,358,16,0.04337532031328605,0.1959963386914615
44,hazard,30,new,70,0,3.655715316916063e-06,0.0015952330918788844
44,hazard,30,regular,314,0,1.0613807135336757e-05,0.002668345745667844
44,hazard,30,variable,358,2,0.005575004847416214,0.03871719184680079
44,hazard,60,new,70,0,2.5527523557704733e-05,0.004226174394191849
44,hazard,60,regular,314,0,7.383588892604237e-05,0.007067889667513302
44,hazard,60,variable,358,3,0.00832378038766449,0.04939917037474066
44,hazard,120,new,70,0,0.0003462395905010082,0.015737584270206686
44,hazard,120,regular,314,1,0.004123469722422999,0.041940003761801375
44,hazard,120,variable,358,16,0.04347868723507351,0.20252836326108045
44,hazard_cal,30,new,70,0,1.384044929767523e-05,0.0031966267193452216
44,hazard_cal,30,regular,314,0,3.652294904131945e-05,0.005090714887960923
44,hazard_cal,30,variable,358,2,0.005566007446736799,0.03580254480965526
44,hazard_cal,60,new,70,0,9.121832996617852e-05,0.008243213997810401
44,hazard_cal,60,regular,314,0,0.00023928899015615525,0.013124153564775651
44,hazard_cal,60,variable,358,3,0.008292620447188507,0.046611044133655306
44,hazard_cal,120,new,70,0,0.0010745595164006285,0.028806860618621272
44,hazard_cal,120,regular,314,1,0.005845680509777752,0.05925774886710472
44,hazard_cal,120,variable,358,16,0.04273600930438456,0.18382495178270372
55,empirical,30,new,77,0,1.3775926293283055e-06,0.0011743982559415
55,empirical,30,regular,321,0,1.3775926293283055e-06,0.0011743982559415
55,empirical,30,variable,341,0,1.3775926293283055e-06,0.0011743982559415
55,empirical,60,new,77,0,2.2041482069253932e-05,0.0047058910374126
55,empirical,60,regular,321,0,2.2041482069253932e-05,0.0047058910374126
55,empirical,60,variable,341,4,0.011642103988092688,0.06753974763180581
55,empirical,120,new,77,1,0.012834605620635086,0.06984412825051879
55,empirical,120,regular,321,0,0.0002896388503162,0.0171652631300942
55,empirical,120,variable,341,14,0.039947920898421065,0.1836984496398235
55,hazard,30,new,77,0,1.0946567326821224e-06,0.0009971112735146857
55,hazard,30,regular,321,0,9.921159172685266e-06,0.0025461829831358433
55,hazard,30,variable,341,0,1.952862297210646e-06,0.0011114444192044464
55,hazard,60,new,77,0,7.559595772237073e-06,0.0026228916370614388
55,hazard,60,regular,321,0,6.800973722364389e-05,0.006695841348060518
55,hazard,60,variable,341,4,0.011666948450530791,0.07232295276489586
55,hazard,120,new,77,1,0.012791926447425305,0.06758898075067281
55,hazard,120,regular,321,0,0.000889227412919552,0.02467211224735524
55,hazard,120,variable,341,14,0.04006504183851523,0.19856961974511744
55,hazard_cal,30,new,77,0,8.781993599458475e-07,0.0008913919364153299
55,hazard_cal,30,regular,321,0,8.430913055074075e-06,0.0023294870238418602
55,hazard_cal,30,variable,341,0,1.6067252815298989e-06,0.0009999666873497604
55,hazard_cal,60,new,77,0,6.141745984965736e-06,0.0023594230845831016
55,hazard_cal,60,regular,321,0,5.854584604528495e-05,0.006164245571946596
55,hazard_cal,60,variable,341,4,0.011671926826876232,0.07329604028637679
55,hazard_cal,120,new,77,1,0.012800386728038553,0.06790335119620378
55,hazard_cal,120,regular,321,0,0.0007896937393098266,0.023053384439651846
55,hazard_cal,120,variable,341,14,0.040126446999975834,0.20144895295430476
