seed,policy,sessions,users,repeated_users,tail_users,tail,mean_shortfall,delivered,cost,cost_per_kwh,repeat_failure,new_shortfall,new_sessions,excess_kwh,fallbacks,decisions,max_violation,latency_p50,latency_p95
11,point_frozen,773,60,60,6,0.24471593368845881,0.10488124902900782,13204.530118738934,2077.675703253223,0.1573456748987026,0.18333333333333332,0.09194290584570573,79,0.0,1,1198,1.4210854715202004e-14,0.012992916497751139,0.02553128573490537
22,point_frozen,748,60,60,6,0.28774412486699247,0.11793955646516582,12589.270577605903,2136.3927841253962,0.1696994890177087,0.23333333333333334,0.1099941836932532,71,0.0,1,1201,2.7755575615628914e-17,0.012754458002746105,0.022657333000097424
33,point_frozen,770,60,60,6,0.31950322268600795,0.11127813038369044,13520.637918070173,2287.2106839608705,0.16916440613382897,0.21666666666666667,0.14773625767800777,86,0.0,0,1187,1.1102230246251565e-16,0.010447832988575101,0.023382833780488
44,point_frozen,744,60,60,6,0.2818768290285219,0.09120782472774025,13248.161308142619,2155.9624129335243,0.16273672721726457,0.13333333333333333,0.05271511514672576,70,0.0,0,1177,2.842170943040401e-14,0.011526166985277086,0.01855424118693918
55,point_frozen,740,60,60,6,0.22679399123305943,0.09243697826533234,12907.490590306414,2007.0333544999248,0.15549369108254213,0.11666666666666667,0.09475586979371839,77,0.0,0,1154,1.1102230246251565e-16,0.011084771002060734,0.018463285734469537
