seed,policy,fulfillment_threshold,repeated_users,fraction_users_failing_half
33,edf,0.8,60,0.03333333333333333
33,edf,0.9,60,0.05
33,edf,0.95,60,0.06666666666666667
33,equal,0.8,60,0.15
33,equal,0.9,60,0.2
33,equal,0.95,60,0.25
33,fcfs,0.8,60,0.05
33,fcfs,0.9,60,0.08333333333333333
33,fcfs,0.95,60,0.15
33,history,0.8,60,0.016666666666666666
33,history,0.9,60,0.03333333333333333
33,history,0.95,60,0.03333333333333333
33,laxity,0.8,60,0.06666666666666667
33,laxity,0.9,60,0.15
33,laxity,0.95,60,0.18333333333333332
33,maxmin,0.8,60,0.1
33,maxmin,0.9,60,0.3333333333333333
33,maxmin,0.95,60,0.35
33,pf_mpc,0.8,60,0.03333333333333333
33,pf_mpc,0.9,60,0.08333333333333333
33,pf_mpc,0.95,60,0.08333333333333333
33,point,0.8,60,0.2
33,point,0.9,60,0.5333333333333333
33,point,0.95,60,0.8666666666666667
33,point_history,0.8,60,0.13333333333333333
33,point_history,0.9,60,0.5666666666666667
33,point_history,0.95,60,0.85
33,stochastic,0.8,60,0.05
33,stochastic,0.9,60,0.08333333333333333
33,stochastic,0.95,60,0.08333333333333333
44,debt_share,0.8,60,0.0
44,debt_share,0.9,60,0.05
44,debt_share,0.95,60,0.13333333333333333
44,edf,0.8,60,0.0
44,edf,0.9,60,0.0
44,edf,0.95,60,0.0
44,equal,0.8,60,0.05
44,equal,0.9,60,0.1
44,equal,0.95,60,0.13333333333333333
44,fcfs,0.8,60,0.0
44,fcfs,0.9,60,0.016666666666666666
44,fcfs,0.95,60,0.03333333333333333
44,history,0.8,60,0.0
44,history,0.9,60,0.0
44,history,0.95,60,0.0
44,laxity,0.8,60,0.016666666666666666
44,laxity,0.9,60,0.05
44,laxity,0.95,60,0.06666666666666667
44,maxmin,0.8,60,0.03333333333333333
44,maxmin,0.9,60,0.16666666666666666
44,maxmin,0.95,60,0.26666666666666666
44,pf_mpc,0.8,60,0.0
44,pf_mpc,0.9,60,0.0
44,pf_mpc,0.95,60,0.016666666666666666
44,point,0.8,60,0.13333333333333333
44,point,0.9,60,0.55
