metric,mean,low,high,n
tail,0.0053756886117265175,-0.01809094117834902,0.028842318401802052,5
delivered,1.015959131237686,1.0089984988643363,1.0229197636110359,5
cost_per_kwh,1.013080213938752,1.004606163042847,1.0215542648346572,5
