policy,shortfall,cdf
equal,0.0,0.016666666666666666
equal,0.0,0.03333333333333333
equal,0.0,0.05
equal,0.0,0.06666666666666667
equal,0.0,0.08333333333333333
equal,0.0,0.1
equal,0.0,0.11666666666666667
equal,0.0,0.13333333333333333
equal,0.0,0.15
equal,0.0,0.16666666666666666
equal,0.0,0.18333333333333332
equal,0.0,0.2
equal,0.0,0.21666666666666667
equal,0.0,0.23333333333333334
equal,0.0,0.25
equal,0.00046118110507105555,0.26666666666666666
equal,0.0015268391794256001,0.2833333333333333
equal,0.0015960458208956001,0.3
equal,0.0026886751397101113,0.31666666666666665
equal,0.0028320915032055355,0.3333333333333333
equal,0.0029892187499336114,0.35
equal,0.004668971989917836,0.36666666666666664
equal,0.005390744546636538,0.38333333333333336
equal,0.005534413844285516,0.4
equal,0.005698738502703207,0.4166666666666667
equal,0.005998754375027492,0.43333333333333335
equal,0.008885318573902424,0.45
equal,0.01073886084641167,0.4666666666666667
equal,0.013902724553953102,0.48333333333333334
equal,0.02618509848145808,0.5
equal,0.026185357884206454,0.5166666666666667
equal,0.028286574604439466,0.5333333333333333
equal,0.02953546199592029,0.55
equal,0.03642252085605828,0.5666666666666667
equal,0.036544991958510936,0.5833333333333334
equal,0.04908460556995521,0.6
equal,0.051870963264763634,0.6166666666666667
equal,0.06124754725740099,0.6333333333333333
equal,0.06348628712710752,0.65
equal,0.0636663323803906,0.6666666666666666
equal,0.07611338047683595,0.6833333333333333
equal,0.08142237536678845,0.7
equal,0.0918310009647637,0.7166666666666667
equal,0.09276366496744406,0.7333333333333333
equal,0.09565574890658826,0.75
equal,0.09980202996861878,0.7666666666666667
equal,0.10159888477565689,0.7833333333333333
equal,0.10252129441500413,0.8
equal,0.10280103994432087,0.8166666666666667
equal,0.10431853782347038,0.8333333333333334
equal,0.11708508424071744,0.85
equal,0.12254989474787563,0.8666666666666667
equal,0.12780033845407587,0.8833333333333333
equal,0.13274491381832598,0.9
equal,0.1411096443219644,0.9166666666666666
equal,0.14888510831508242,0.9333333333333333
equal,0.17515354892825227,0.95
equal,0.19139833747164164,0.9666666666666667
equal,0.19732555391891463,0.9833333333333333
equal,0.24760122302373797,1.0
stochastic,0.0,0.016666666666666666
stochastic,0.0,0.03333333333333333
stochastic,0.0,0.05
stochastic,0.0,0.06666666666666667
stochastic,0.0,0.08333333333333333
stochastic,0.0,0.1
stochastic,0.0,0.11666666666666667
stochastic,0.0,0.13333333333333333
stochastic,0.0,0.15
stochastic,0.0,0.16666666666666666
stochastic,0.0,0.18333333333333332
stochastic,0.0,0.2
stochastic,0.0,0.21666666666666667
